company_withAccessInfo,link,country,sector,industry,publication date,pages PDF,auditor
HSBC Continental Europe,https://www.hsbc.com/-/files/hsbc/investors/hsbc-results/2024/annual/pdfs/hsbc-continental-europe/250219-registration-document-and-annual-financial-report-2024-english.pdf,France,Financials,Commercial Banks,2025-02-19,109,PwC
Huhtamaki,https://www.huhtamaki.com/globalassets/global/investors/reports-and-presentations/en/2024/huhtamaki-annual-report-2024.pdf,Finland,Resource Transformation,Containers & Packaging,2025-03-11,73,KPMG
IAG,https://www.iairgroup.com/media/4qxgaavc/iag-annual-report-and-accounts-2024.pdf,United Kingdom,Transportation,Airlines,2025-03-06,69,KPMG
Iberdrola,https://www.iberdrola.com/documents/20125/42388/IB_Sustainability_Report.pdf,Spain,Infrastructure,Electric Utilities & Power Generators,2025-02-28,413,KPMG
If P&C Insurance*,https://www.sampo.com/globalassets/year2024/if/if_annual_report_2024.pdf,Sweden,Financials,Insurance,2025-03-11,83,Deloitte
Ignitis*,https://ignitisgrupe.lt/sites/default/files/public/inline-files/Integrated%20Annual%20Report%202024_0.pdf,Lithuania,Infrastructure,Electric Utilities & Power Generators,2025-02-26,120,KPMG
IMCD*,https://www.imcdgroup.com/sfsites/c/cms/delivery/media/MC7UDWPIZYQFHHZGUQR3D6G4FBG4?version=1.2&channelId=0apJy00000002pp,Netherlands,Resource Transformation,Chemicals,2025-03-04,97,Deloitte
Imerys*,https://www.imerys.com/public/2025-03/Imerys-Universal-Registration-Document-2024-EN.pdf,France,Extractives & Mineral Processing,Metals & Mining,2025-03-27,172,Deloitte & PwC
Inditex,https://www.inditex.com/itxcomweb/api/media/604197b9-50de-4f4f-ab84-c1e379cb3fd0/Inditex_Group_Annual_Report_2024.pdf?t=1741989136588,Spain,Consumer Goods,"Apparel, Accessories & Footwear",2025-03-12,296,EY
ING,https://www.ing.com/Investors/Financial-performance/Annual-reports/2024/2024-ING-Groep-NV-annual-report.htm,Netherlands,Financials,Commercial Banks,2025-03-06,61,KPMG
InPost*,https://inpost.eu/sites/default/files/2025-03/InPost%20Raport%202024s.pdf,Luxembourg,Transportation,Air Freight & Logistics,2025-03-28,90,PwC
ISS,https://inv.issworld.com/static-files/e2fc0b84-da74-4077-a176-4c4ed0f6364c,Denmark,Services,Professional & Commercial Services,2025-02-20,52,PwC
Iveco*,https://www.ivecogroup.com/-/media/investors/shareholder_meetings/docs/agm_2025/doc/IVG_Annual_Report_2024.pdf?rev=c295e4c8117c4cbe9305ff93a3264b4c,Netherlands,Transportation,Automobiles,2025-03-05,128,Deloitte
Jungheinrich*,https://media-live2.prod.scw.jungheinrichcloud.com/resource/blob/1945362/b99eaa2a05fb89cc1a9ba7e22002593e/download-jungheinrich-geschaeftsbericht-2024-data.pdf,Germany,Resource Transformation,Industrial Machinery & Goods,2025-03-27,75,PwC
K+S,https://www.kpluss.com/.downloads/ir/2025/kpluss-annual-report-2024.pdf,Germany,Resource Transformation,Chemicals,2025-03-13,94,PwC
Kalmar Global,https://www.kalmarglobal.com/492e6a/contentassets/0777d969294a496686cf652379c24e08/kalmar-annual-report-2024.pdf,Finland,Resource Transformation,Industrial Machinery & Goods,2025-03-04,51,EY
Kemira,https://mb.cision.com/Main/19578/4109438/3278726.pdf,Finland,Resource Transformation,Chemicals,2025-02-21,77,EY
Kempower*,https://investors.kempower.com/wp-content/uploads/sites/2/2025/04/kempower_annual_report_2024.pdf',Finnland,Resource Transformation,Electrical & Electronic Equipment,2025-04-02,106,EY
Kering,https://www.kering.com/api/download-file/?path=Kering_2024_URD_EN_f8c45e2e74.pdf,France,Consumer Goods,"Apparel, Accessories & Footwear",2025-03-15,110,Deloitte & PwC
Kesko,https://www.kesko.fi/493454/globalassets/03-sijoittaja/raporttikeskus/2025/q1/vuosiraportti-2024/kesko_annual_report_2024.pdf,Finland,Food & Beverage,Food Retailers & Distributors,2025-02-28,71,Deloitte
Kingspan,https://annual-report.kingspan.com/wp-content/uploads/2025/02/KIngpsan-AR24.pdf,Ireland,Consumer Goods,Building Products & Furnishings,2025-02-25,49,EY
KION Group,https://reports.kiongroup.com/2024/ar/_assets/downloads/2024-Q4_Annual-Report_KION_Group.pdf?h=VEHUIzFO,Germany,Resource Transformation,Industrial Machinery & Goods,2025-02-26,130,KPMG
Knorr-Bremse*,https://ir-api.eqs.com/media/document/055f8df8-0727-4d65-968e-ffb3b7b87a35/assets/Knorr-Bremse_AG_Geschaeftsbericht_2024_safe.pdf?disposition=inline,Germany,Resource Transformation,Industrial Machinery & Goods,2025-03-20,79,KPMG
Kone,https://www.kone.com/en/Images/KONE_Sustainability%20Statement_2024_tcm17-134329.pdf,Finland,Resource Transformation,Industrial Machinery & Goods,2025-02-14,54,EY
Konecranes,https://investors.konecranes.com/sites/konecranes/files/Annual_report_2024/governance_and_financial_review_2024.pdf,Finland,Resource Transformation,Industrial Machinery & Goods,2025-02-28,85,EY
KPN,https://www.jaarverslag2024.kpn/downloads/KPN-integrated-annual-report-2024_2025-02-21-143127_spyv.pdf,Netherlands,Technology & Communications,Telecommunication Services,2025-02-24,117,EY
Lanxess,https://lanxess.com/-/media/project/lanxess/corporate-internet/investors/reporting/2024/lxs_ar-2024_en_web.pdf,Germany,Resource Transformation,Chemicals,2025-03-20,138,KPMG
Lenzing*,https://reports.lenzing.com/geschaefts-und-nachhaltigkeitsbericht/2024/_assets/downloads/entire-lenzing-gb24.pdf?h=IrQy2_XM,Austria,Resource Transformation,Chemicals,2025-03-14,201,KPMG
Leonardo*,https://www.leonardo.com/documents/15646808/28608810/2024+Integrated+Annual+Report.pdf?t=1741973243807,Italy,Resource Transformation,Aerospace & Defence,2025-03-11,112,EY
LPP*,https://wwwlpp62711ea95a.blob.core.windows.net/blobwwwlpp62711ea95a/wp-content/uploads/2025/04/Consolidated-annual-report-of-LPP-SA-Group-for-2024.pdf,Poland,Consumer Goods,"Apparel, Accessories & Footwear",2025-04-03,102,Grant Thornton
Lundbeck,https://www.lundbeck.com/content/dam/lundbeck-com/masters/global-site/global-site/investors/2024/fy24/Lundbeck%20Annual%20Report%202024.pdf,Denmark,Health Care,Biotechnology & Pharmaceuticals,2025-02-04,86,PwC
LVMH,https://lvmh-com.cdn.prismic.io/lvmh-com/Z-PY3HdAxsiBv6wN_UniversalRegistrationDocument2024.pdf,France,Consumer Goods,"Apparel, Accessories & Footwear",2025-03-26,194,Deloitte
L’Oréal,https://www.loreal-finance.com/system/files/2025-03/2024_Universal_Registration_Document_LOREAL.pdf,France,Consumer Goods,Household & Personal Products,2025-03-24,98,Deloitte & EY
Mapfre,https://www.mapfre.com/media/shareholders/2025/consolidated-annual-account-2024.pdf,Spain,Financials,Insurance,2025-02-14,268,KPMG
Mercedes-Benz*,https://group.mercedes-benz.com/documents/investors/reports/annual-report/mercedes-benz/mercedes-benz-annual-report-2024-incl-combined-management-report-mbg-ag.pdf,Germany,Transportation,Automobiles,2025-03-11,145,PwC
Merck,https://www.merckgroup.com/en/annualreport/2024/_assets/downloads/entire-merck-ar24.pdf,Germany,Health Care,Biotechnology & Pharmaceuticals,2025-03-06,193,Deloitte
Metsä*,https://www.metsagroup.com/globalassets/metsa-group/documents/investors/financial-reporting/annual-reports/2024/metsa-group-annual-review-2024.pdf,Finland,Renewable Resources & Alternative Energy,Pulp & Paper Products,2025-02-20,46,KPMG
Michelin*,https://dgaddcosprod.blob.core.windows.net/cxf-corporate/attachments/qanvhgnu5jlaiw98oi5q1kzi-2024-universal-registration-document.pdf,France,Transportation,Auto Parts,2025-04-07,141,Deloitte & PwC
Minor Hotels Europe & Americas*,https://www.nh-hotels.com/corporate/assets/uploads/2025/02/18103106/Annual-Report-2024-inc.-FS-and-Management-report-with-sustainability-con-informe.pdf,Spain,Services,Hotels & Lodging,2025-02-13,298,PwC
MT Højgaard Holding,https://mthh.dk/app/uploads/2025/02/MTHH_AR24_UK.pdf,Denmark,Infrastructure,Engineering & Construction Services,2025-02-20,65,EY
MTU Aero Engines,https://www.mtu.de/fileadmin/DE/5_Investoren/Financial_Report/MTUAeroEnginesAG_AnnualReport_2024_en_locked.pdf,Germany,Resource Transformation,Aerospace & Defence,2025-03-25,103,KPMG
Multiconsult*,https://www.multiconsultgroup.com/globalassets/group/reports-annual/multiconsult---annual-report-2024_f41-web.pdf,Norway,Infrastructure,Engineering & Construction Services,2025-03-18,35,Deloitte
Munich Re,https://www.munichre.com/content/dam/munichre/mrwebsiteslaunches/2024-annual-report/MunichRe-Group-Annual-Report-2024-en.pdf/_jcr_content/renditions/original./MunichRe-Group-Annual-Report-2024-en.pdf,Germany,Financials,Insurance,2025-03-19,103,EY
Mærsk,https://attachment.news.eu.nasdaq.com/a55930e697748fe58026d7b8502d7c330,Denmark,Transportation,Marine Transportation,2025-02-06,83,PwC
Neste,https://www.neste.com/files/pdf/3kFaGuHcQk8hRDLS6tlvqF-Neste_Annual_Report_2024.pdf,Finland,Extractives & Mineral Processing,Oil & Gas – Refining & Marketing,2025-02-28,50,KPMG
Netcompany,https://netcompany.com/investor/annual-report/,Denmark,Technology & Communications,Internet Media & Services,2025-01-29,93,EY
NIBC Bank*,https://nibc.com/media/ys4npn2p/annual-report-nibc-bank-nv-2024.pdf,Netherlands,Financials,Commercial Banks,2025-03-07,54,EY
Nilfisk,https://investor.nilfisk.com/static-files/078eaffc-1f0e-406b-aace-9f6217cc0f0a,Denmark,Resource Transformation,Industrial Machinery & Goods,2025-02-20,71,Deloitte
NKT,https://investors.nkt.com/static-files/6b835bd3-42ed-4b20-a68a-9bedb587aa13,Denmark,Resource Transformation,Electrical & Electronic Equipment,2025-02-21,60,PwC
NN*,https://www.nn-group.com/article-display-on-page-no-index/nn-group-annual-report-2024.htm,Netherlands,Financials,Insurance,2025-03-13,123,KPMG
NNIT,https://www.nnit.com/media/50fpzrik/nnit-annual-report-2024.pdf,Denmark,Technology & Communications,Software & IT Services,2025-02-19,75,EY
Nokia,https://www.nokia.com/system/files/2025-03/nokia-annual-report-2024.pdf,Finland,Technology & Communications,Hardware,2025-03-14,105,Deloitte
Nokian Tyres,https://nokiantyres.studio.crasman.cloud/pub/Corporate%20Web/PDF/Annual%20Reports/Nokian_Tyres_Annual_Report_2024.pdf,Finland,Transportation,Auto Parts,2025-03-03,102,EY
Nordea,https://www.nordea.com/en/doc/annual-report-nordea-bank-abp-2024-0.pdf,Finland,Financials,Commercial Banks,2025-02-24,111,PwC
Nordex*,https://ir-api.eqs.com/media/document/61605c82-da3a-4001-977c-94c45b199b0a/assets/DE000A0D6554-JA-2024-EQ-E-01.pdf?disposition=inline,Germany,Renewable Resources & Alternative Energy,Wind Technology & Project Developers,2025-02-27,130,KPMG
Norsk Hydro,https://www.hydro.com/globalassets/06-investors/reports-and-presentations/annual-report/nhy-2024/integrated-annual-report-2024-en.pdf,Norway,Extractives & Mineral Processing,Metals & Mining,2025-02-14,73,KPMG
NOS,https://www.nos.pt/content/dam/nos/institucional/investidores/investidores_en/results-presentations/results-documents/2024/4q24/2024-Integrated-Annual-Report.pdf,Portugal,Technology & Communications,Telecommunication Services,2025-03-14,239,KPMG
Novo Banco*,https://www.cmvm.pt/PInstitucional/PdfVierInfPriv?Input=1E2FC1FC82B57A069BCC2BC347C38083FFC6DE4E73037CF7F9686EBB72C982B7,Portugal,Financials,Commercial Banks,2025-03-06,225,EY
Novo Nordisk,https://www.novonordisk.com/content/dam/nncorp/global/en/investors/irmaterial/annual_report/2025/novo-nordisk-annual-report-2024.pdf,Denmark,Health Care,Biotechnology & Pharmaceuticals,2025-02-05,54,Deloitte
Novonesis,https://media.novonesis.com/Novonesis_Annual_Report_2024.pdf,Denmark,Health Care,Biotechnology & Pharmaceuticals,2025-02-26,70,EY
NWB Bank,https://nwbbank.com/application/files/7617/4235/8276/NWB_Bank_Annual_Report_2024.pdf,Netherlands,Financials,Commercial Banks,2025-02-14,67,EY
Nykredit*,https://www.nykredit.com/siteassets/ir/files/financial-reporting/financial-reports/nykredit/2024/nykredit_q4_24_2025-02-05_en.pdf,Denmark,Financials,Commercial Banks,2025-02-05,99,EY
OMV*,https://reports.omv.com/en/annual-report/2024/_assets/downloads/entire-omv-ar24.pdf?h=AXaBFK3e,Austria,Extractives & Mineral Processing,Oil & Gas – Refining & Marketing,2025-04-07,328,KPMG
Orange*,https://gallery.orange.com/finance/?od%3D270d12d1-9dd7-43a2-a480-1fed78f876c7%26om%3Dca6b8345-3c82-4d23-9a9c-5a238ae2015d%26v%3DsharedSelection%23ss%3Dbd9c85cd-0b0c-48b7-8433-3848ef8eadca&sa=D&source=editors&ust=1743531754328749&usg=AOvVaw0Zt1jtBUA3RFGzpKsBTRJ4,France,Technology & Communications,Telecommunication Services,2025-03-27,138,KPMG & Deloitte
Orion*,https://www.orionpharma.com/493e39/globalassets/investors/reports-and-presentations/2024/orion-financial-statement-documents-2024.pdf,Finland,Health Care,Medical Equipment & Supplies,2025-03-11,82,KPMG
Palfinger*,https://assets.palfinger.com/importdata/corporate/newsroom/en/reports/2024/b7-qv9-x2z/Annual_Report_2024.pdf,Austria,Resource Transformation,Industrial Machinery & Goods,2025-03-05,110,PwC
Pandora*,https://ml-eu.globenewswire.com/Resource/Download/edd04a03-bc89-4cc9-8924-4439f5efd4b0,Denmark,Consumer Goods,"Apparel, Accessories & Footwear",2025-02-05,55,EY
PFA*,https://english.pfa.dk/-/media/pfa-v2/english/documents/about-pfa/financial-information/annual-reports/pfa-holding-annual-report-2024.pdf?rev=41de44133c3b4aea951ff797af91084a,Denmark,Financials,Insurance,2025-02-06,99,EY
Philips,https://www.results.philips.com/publications/ar24/downloads/files/en/PhilipsFullAnnualReport2024-English.pdf?v%3D20250221111026&sa=D&source=editors&ust=1740414875713543&usg=AOvVaw03JVrsRo5pGqKO9bnEsL-L,Netherlands,Infrastructure,Electric Utilities & Power Generators,2025-02-21,85,EY
Porsche,https://a.storyblok.com/f/274296/x/0511322a0f/annual-and-sustainability-report-2024_porsche-ag-consolidated-financial-statements-ifrs.pdf,Germany,Transportation,Automobiles,2025-03-12,89,EY
PostNL,https://annualreport.postnl.nl/2024/xmlpages/tan/files?p_file_id=438,Netherlands,Transportation,Air Freight & Logistics,2025-02-24,129,KPMG
ProCredit Holding*,https://www.procredit-holding.com/wp-content/uploads/2025/04/Annual-Report-2024.pdf?t=1744442769,Germany,Financials,Commercial Banks,2025-03-27,147,BDO
Prosegur,https://www.prosegurcash.com/dam/jcr:b7b04d09-dbaf-41cb-8586-291a24cb4617/CCAACC%202024%20Prosegur%20Cash%20-EN-.pdf,Spain,Services,Professional & Commercial Services,2025-02-28,209,EY
ProSiebenSat.1 Media*,https://www.prosiebensat1.com/files/2025/03/13/218da4bb-c422-47d0-8d63-be38de97a721.pdf,Germany,Services,Media & Entertainment,2025-03-06,87,PwC
Prysmian,https://www.prysmian.com/sites/www.prysmian.com/files/media/documents/Integrated_Annual_Report_2024_Prysmian_ENG_3.pdf,Italy,Resource Transformation,Electrical & Electronic Equipment,2025-03-10,300,EY
Puma,https://about.puma.com/sites/default/files/financial-report/2024/puma-annual-report-2024-en-final_0.pdf,Germany,Consumer Goods,"Apparel, Accessories & Footwear",2025-03-12,144,KPMG
Rabobank,https://media.rabobank.com/m/6139dd32089f1983/original/Annual-Report-2024.pdf,Netherlands,Financials,Commercial Banks,2025-03-13,78,PwC
Raiffeisen Bank International,https://www.rbinternational.com/content/dam/rbi/ho/investors/results-reports/annual-reports/rbi/2025-02-25%202024%20RBI%20Annual%20Report.pdf.coredownload.pdf,Austria,Financials,Commercial Banks,2025-02-25,344,Deloitte
Randstad,https://www.randstad.com/s3fs-media/rscom/public/2025-02/Randstad_Annual_Report_2024_0.pdf?VersionId=Bv1eXfZPoZ64ddDZTJWm6THty81RB0EM,Netherlands,Services,Professional & Commercial Services,2025-02-12,60,Deloitte
RELX,https://www.relx.com/~/media/Files/R/RELX-Group/documents/reports/annual-reports/relx-2024-annual-report.pdf,United Kingdom,Services,Professional & Commercial Services,2025-02-20,35,EY
Renault*,https://assets.renaultgroup.com/uploads/2025/03/Renault_URD_2024_EN-V2.pdf,France,Transportation,Automobiles,2025-03-14,151,KPMG & Forvis Mazars
RENK Group*,https://ir.renk.com/media/document/30a5cdda-0c11-4afd-b650-2f1b67a0ec6a/assets/2024_RGA_Annnual_Report_01.pdf,Germany,Resource Transformation,Industrial Machinery & Goods,2025-03-26,71,PwC
Repsol,https://www.repsol.com/content/dam/repsol-corporate/en_gb/accionistas-e-inversores/informes-anuales/2024/consolidated-management-report-2024.pdf,Spain,Extractives & Mineral Processing,Oil & Gas – Exploration & Production,2025-02-20,204,PwC
Rexel,https://www.rexel.com/content/uploads/sites/2/2025/03/rexel-urd-202412-en.pdf,France,Resource Transformation,Industrial Machinery & Goods,2025-03-13,156,PwC & KPMG
Rheinmetall,https://ir.rheinmetall.com/media/document/0138f185-ccd4-4521-837b-e49cb68730b5/assets/DE0007030009-JA-2024-EQ-E-00.pdf,Germany,Resource Transformation,Aerospace & Defence,2025-03-12,61,Deloitte
Ringkjøbing Landbobank,https://attachment.news.eu.nasdaq.com/aba5d8f5b0b18efd66154512ade0b124d,Denmark,Financials,Commercial Banks,2025-02-05,99,PwC
Rockwool,https://attachment.news.eu.nasdaq.com/af5fffe3ef739e79c3c46ee2c49f2ab9a,Denmark,Consumer Goods,Building Products & Furnishings,2025-02-06,80,PwC
Royal Ahold Delhaize*,https://www.aholddelhaize.com/media/0hsbqnl1/annual-report-2024-ahold-delhaize-hi_res.pdf,Netherlands,Food & Beverage,Food Retailers & Distributors,2025-02-26,124,KPMG
Royal Schiphol*,https://downloads.ctfassets.net/biom0eqyyi6b/4dK3ANlskFq31RXtEu9oyP/1a9b38969bfacf5a5bd75bd0c1f7d839/Schiphol_Group_Annual_Report_2024.pdf,Netherlands,Transportation,Air Freight & Logistics,2025-02-11,103,EY
Royal Unibrew,https://investor.royalunibrew.com/static-files/44a7f883-b6b8-4f5e-a8b6-1148ba00cf65,Denmark,Food & Beverage,Alcoholic Beverages,2025-02-25,70,Deloitte
RWE,https://www.rwe.com/-/media/RWE/documents/05-investor-relations/finanzkalendar-und-veroeffentlichungen/2024-gj/2025-03-20-rwe-annual-report-2024.pdf,Germany,Infrastructure,Electric Utilities & Power Generators,2025-03-20,113,Deloitte
SAFRAN*,https://www.safran-group.com/download/media/447681,France,Resource Transformation,Aerospace & Defence,2025-03-28,124,Forvis Mazars & EY
Saint-Gobain,https://www.saint-gobain.com/sites/saint-gobain.com/files/media/document/Saint-Gobain_2024_DEU_VA.pdf,France,Extractives & Mineral Processing,Construction Materials,2025-03-12,130,Deloitte
Sampo*,https://www.sampo.com/globalassets/year2024/group/sampo2024_board_report_financial_statements.pdf,Finland,Financials,Insurance,2025-03-18,79,Deloitte
Sanofi,https://www.sanofi.com/assets/dotcom/content-app/publications/esg-reports/sustainability-statement-2024--ESG-Report-.pdf,France,Health Care,Biotechnology & Pharmaceuticals,2025-02-13,153,PwC & Forvis Mazars
Santander Bank Polska*,https://www.santander.pl/regulation_file_server/time20250307134205/download?id=168031&lang=en_US,Poland,Financials,Commercial Banks,2025-02-25,128,PwC
SAP,https://www.sap.com/docs/download/investors/2024/sap-2024-integrated-report.pdf,Germany,Technology & Communications,Software & IT Services,2025-02-27,114,BDO
Sartorius,https://www.sartorius.com/download/1661808/fy-2024-download-sag-annual-report-en-data.pdf,Germany,Health Care,Medical Equipment & Supplies,2025-02-18,100,PwC
Sartorius Stedim Biotech,https://www.sartorius.com/download/1662024/fy-2024-download-ssb-annual-report-en-data.pdf,France,Health Care,Medical Equipment & Supplies,2025-02-17,92,PwC
SBAB Bank*,https://www.sbab.se/download/18.113e0059190de94eea11876e/1742399889344/SBAB%20%C3%85R%202024_250320_ENG.pdf,Sweden,Financials,Commercial Banks,2025-03-18,97,Deloitte
SBM Offshore,https://2024.annualreport.sbmoffshore.com/,Netherlands,Extractives & Mineral Processing,Oil & Gas – Exploration & Production,2025-02-20,84,Deloitte
Schaeffler,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.schaeffler.com/remotemedien/media/_shared_media_rwd/08_investor_relations/reports/2024_ar/2024_schaeffler_annual_report_en_4lcd3b.pdf&ved=2ahUKEwiKj8jG-ISMAxVoBNsEHTcREtYQFnoECBQQAQ&usg=AOvVaw0kqStG20MfxvWHVTT1SuC7,Germany,Transportation,Automobiles,2025-03-05,76,KPMG
Schneider Electric*,https://www.se.com/ww/en/assets/564/document/510443/2024-universal-registration-document.pdf?p_enDocType=Financial%20release&p_File_Name=Universal%20Registration%20Document%202024,France,Resource Transformation,Electrical & Electronic Equipment,2025-03-26,186,PwC & Forvis Mazars
Schoeller-Bleckmann Oilfield Equipment*,https://a.storyblok.com/f/321294/x/79d92ecb9f/ar-24_en_final.pdf,Austria,Extractives & Mineral Processing,Oil & Gas – Services,2025-03-20,204,KPMG
SEB,https://webapp.sebgroup.com/mb/mblib.nsf/alldocsbyunid/0C76B7571DFB23F5C1258C4900320544/$FILE/SEB_Annual_Report_2024_ENG.pdf,Sweden,Financials,Commercial Banks,2025-03-07,117,EY
Semperit*,https://www.semperitgroup.com/fileadmin/user_upload/MediaLibrary/SemperitGroup/Investor_relations/Annual_reports_EN/2024-Annual_Report.pdf,Austria,Resource Transformation,Industrial Machinery & Goods,2025-03-20,134,EY
Shell*,https://www.shell.com/investors/results-and-reporting/annual-report/_jcr_content/root/main/section_2113846431/link_list/links/item0.stream/1742873115632/6c20b8111738b9a590ba145f0d1c4fa0e530dae0/shell-annual-report-2024.pdf,United Kingdom,Extractives & Mineral Processing,Oil & Gas – Exploration & Production,2025-03-25,100,EY
Signify,https://www.signify.com/static/2024/signify-annual-report-2024.pdf,Netherlands,Resource Transformation,Electrical & Electronic Equipment,2025-02-25,84,EY
Sitowise*,https://www.sitowise.com/sites/default/files/2025-03/Sitowise-Annual%20Review-2024-en.pdf,Finland,Infrastructure,Engineering & Construction Services,2025-03-12,66,KPMG
SNCF*,https://www.groupe-sncf.com/medias-publics/2025-03/full-year-financial-report-2024-sncf-group.pdf?VersionId=em7qXJkw0zqwqOzffEZLKpir87yxVsm0,France,Transportation,Rail Transportation,2025-03-10,208,PwC & EY
Société Générale,https://www.societegenerale.com/sites/default/files/documents/2025-03/universal-registration-document-2025.pdf,France,Financials,Commercial Banks,2025-03-14,114,PwC & KPMG
Solar,https://attachment.news.eu.nasdaq.com/ac073c660b3bd956ce9df491a4fba278b,Denmark,Renewable Resources & Alternative Energy,Solar Technology & Project Developers,2025-02-06,55,Deloitte
Sonae*,https://www.sonae.pt/fotos/dados_fin/sonae_annual_report_2024_153160969667ef95e9352db.pdf,Portugal,Food & Beverage,Food Retailers & Distributors,2025-04-03,187,PwC
Sopra Steria,https://www.soprasteria.com/docs/librariesprovider2/sopra-steria-corporate/finance/rapports-financiers/sopra_steria_urd_2024_en_opti.pdf?sfvrsn=e57d27db_16,France,Technology & Communications,Software & IT Services,2025-03-14,144,ACA Nexia & Saint Front
Spar Nord Bank,https://attachment.news.eu.nasdaq.com/a264f5d299b19a040d919cc23445a0fcb,Denmark,Financials,Commercial Banks,2025-02-05,60,Deloitte
Statkraft,https://www.statkraft.com/globalassets/0/.com/6-investor-relations/reports-and-presentations/2024/q4/statkraft-as---annual-report-2024.pdf,Norway,Infrastructure,Electric Utilities & Power Generators,2025-03-04,121,PwC
Stedin*,https://www.stedingroep.nl/-/media/project/groep/files/stedin_group_annual_report_2024.pdf,Netherlands,Infrastructure,Electric Utilities & Power Generators,2025-03-31,61,Deloitte
Stellantis,https://www.stellantis.com/content/dam/stellantis-corporate/investors/financial-reports/Stellantis-NV-20241231-Annual-Report.pdf,Netherlands,Transportation,Automobiles,2025-02-27,106,Deloitte
Stora Enso,https://www.storaenso.com/-/media/documents/download-center/documents/annual-reports/2024/storaenso_annual_report_2024.pdf,Finland,Renewable Resources & Alternative Energy,Pulp & Paper Products,2025-02-13,59,PwC
Storebrand*,https://www.storebrand.no/en/investor-relations/annual-reports/_/attachment/inline/f7268ecb-0b2b-44e3-b264-bb93a0a06afa:afbfc17fd8ac42a515a6a48fb54eaec364e37ae0/2024-annual-report-storebrand-asa.pdf,Norway,Financials,Insurance,2025-03-17,137,PwC
Svenska Handelsbanken*,https://www.handelsbanken.com/tron/xgpu/info/contents/v1/document/72-263272,Sweden,Financials,Commercial Banks,2025-02-26,120,Deloitte
Swedbank,https://mb.cision.com/Main/67/4109053/3277713.pdf,Sweden,Financials,Commercial Banks,2025-02-20,154,PwC
Syensqo*,https://www.syensqo.com/sites/g/files/alwlxe161/files/2025-03/Syensqo-2024-Annual-Integrated-Report.pdf,Belgium,Resource Transformation,Chemicals,2025-03-20,129,EY
Tatra banka,https://www.tatrabanka.sk/files/archiv/en/about/economic-results/annual-reports/Annualreport2024Non-officialPDFversion.pdf,Slovakia,Financials,Commercial Banks,2025-02-28,249,Deloitte
TDC Net*,https://tdcnet.com/media/bahljs5f/tdc-net-annual-report-2024.pdf,Denmark,Technology & Communications,Telecommunication Services,2025-03-13,115,Deloitte
Telefónica,https://www.telefonica.com/en/wp-content/uploads/sites/5/2025/02/Consolidated-Annual-Accounts-2024.pdf,Spain,Technology & Communications,Telecommunication Services,2025-02-27,180,PwC
Telefónica Deutschland*,https://www.telefonica.de/file/public/826/ANNUAL-REPORT-2024-EN-Telefonica-Deutschland-Holding-AG_protected.pdf?attachment=1,Germany,Technology & Communications,Telecommunication Services,2025-02-27,86,PwC
Telekom Austria (A1 Telekom Austria)*,https://a1.group/wp-content/uploads/sites/6/2025/03/A1-Group_results-report-2024-1.pdf,Austria,Technology & Communications,Telecommunication Services,2025-03-21,88,EY
Telenor*,https://www.telenor.no/binaries/om/group/Annual-Report-2024-English.pdf,Norway,Technology & Communications,Telecommunication Services,2025-03-20,84,EY
Teleperformance,https://www.tp.com/media/2balwxel/tp-2024-urd.pdf,France,Technology & Communications,Software & IT Services,2025-03-06,112,PwC
Telia Company,https://www.teliacompany.com/assets/u5c1v3pt22v8/4LVJsLuOlr3SbbnB7DT3X/fdd30eea5fefca67f2a9104af30fd104/Telia_Annual_report_2024.pdf,Sweden,Technology & Communications,Telecommunication Services,2025-03-19,100,KPMG
Telia Lithuania*,https://www.telia.lt/medias/telia-lietuva-annual-report-2024.pdf?context=bWFzdGVyfGZja0ltYWdlL0Rva3VtZW50YWkvS29ycG9yYXR5dmluaWFpL0F0YXNrYWl0b3N8MzAzMDkzNDN8YXBwbGljYXRpb24vcGRmfGZja0ltYWdlL0Rva3VtZW50YWkvS29ycG9yYXR5dmluaWFpL0F0YXNrYWl0b3MvaDc3L2gzMy8xMzYxMDAyNTMyMDQ3OC5wZGZ8NmJiZmE3NjUyZGY3MjNhODhmYWEzYmUxZWQzMGZkY2RlOTg0OTllYjI0ZmQ2MjliYWM1ODY0YTJjZjlkZWI5ZQ,Lithuania,Technology & Communications,Telecommunication Services,2025-04-03,92,PwC
TenneT Holding*,https://tennet-drupal.s3.eu-central-1.amazonaws.com/default/2025-03/Integrated%20Annual%20Report%20TenneT%20Holding%202024%20publication_0.pdf,Netherlands,Infrastructure,Electric Utilities & Power Generators,2025-03-06,60,Deloitte
TF1*,https://groupe-tf1.fr/sites/default/files//pdf-financiers/TF1_URD_2024_UK_0.pdf,France,Services,Media & Entertainment,2025-03-17,104,EY
Thermador Groupe*,https://www.thermador-groupe.fr/wp-content/uploads/urd-2024.pdf,France,Consumer Goods,Multiline and Specialty Retailers & Distributors,2025-03-14,84,KPMG
Tietoevry,https://ar2024.tietoevry.com/siteassets/tietoevry_annual_report_2024.pdf,Finland,Technology & Communications,Software & IT Services,2025-03-04,79,Deloitte
