company,link,country,sector,industry,pages,auditor,type,text,tot_credits,removal,reduction,standard,eu,ca,ccs,notes
Danske Bank,https://attachment.news.eu.nasdaq.com/afa0c01ae4c477af4f872314fa841db48,Denmark,Financials,Commercial Banks,84,Deloitte,3,,0,,,,,,,
Dassault Aviation,https://www.dassault-aviation.com/wp-content/blogs.dir/2/files/2025/04/AR_2024_VA_BD.pdf,France,Resource Transformation,Aerospace & Defence,105,PwC & Forvis Mazars,3,,0,,,,,,,
Dassault Systèmes,https://investor.3ds.com/static-files/f4610f80-970f-4a88-ab8e-0df492444765?_gl=1*vquc5h*_up*MQ..*_ga*MjA0MjE4MDg3MC4xNzQzMDY3OTQ2*_ga_DYJDKXYEZ4*MTc0MzA2Nzk0NS4xLjEuMTc0MzA2Nzk2Mi4wLjAuMA..*_ga_39DKQ0LYW1*MTc0MzA2Nzk0NS4xLjEuMTc0MzA2Nzk2Mi4wLjAuMA..,France,Technology & Communications,Software & IT Services,165,PwC,1,"Dassault  Systèmes does not carry out any GHG absorption
and storage projects as part of its own activities, or within
its value chain. The Company is therefore not active in the
carbon credit markets.
However, in 2024, Dassault  Systèmes has asked some of
its event suppliers to offset GHG emissions on its behalf
through the purchase of carbon offset. It should be noted
that Dassault Systèmes does not deduct these offsets from
its carbon footprint.These carbon credits represented a total of 2,541 tons of CO2.
The calculation method was entrusted to an independent
third party to ensure rigor and methodological consistency.
All carbon credits purchased benefit from a recognized
quality label (Label Bas Carbone, VCS Verra, etc.).
The Company is committed to becoming carbon‑neutral
by 2040, by offsetting residual emissions after achieving
the reduction targets defined as part of its decarbonization
trajectory validated by the SBTi by 2027. In particular, the
Company plans to purchase carbon credits by 2030 to offset
residual Scopes 1 and 2 emissions.
Although it has not made a “Net Zero” commitment,
beyond 2027 which represents its horizon for SBTi targets,
Dassault Systèmes will continue its decarbonization efforts
to cover only its residual emissions with carbon credits.","2,541",0,100,"VCS, Label Bas Carbone",Not specified,Not specified,,
De Volksbank,https://www.devolksbank.nl/assets/files/Annual-Report-2024.pdf?v=1741951070,Netherlands,Financials,Commercial Banks,83,EY,2,"In accordance with our Net zero transition plan, we will reduce our emissions to as
close to zero as possible, see table 'Progress on emission reduction targets'. In line
with the carbon mitigation hierarchy, we will remove 100% of the residual emission
by 2050. We aim to neutralise the remaining financed emissions by financing naturebased CO2e removal projects. To reach our 2050 net zero target we are dependent
on the availability and affordability of removal projects. Currently, we do not consider
any risks as sufficient removal projects are available. We underline this risk of reversal
of carbon removal, however this is not yet relevant as we do not have any removal
projects that contribute to our net zero targets. In the coming years we aim to include
risks associated with falls claim to our removal projects.
De Volksbank has not developed GHG removal or storage projects within its own
operations or value chain. We do however, offset the market-based CO2e emissions
resulting from our own operations by purchasing carbon credits. For 2023, we offset
2,235 tonnes of CO2e emissions, in 2024 we offset 1,991 tonnes of CO2e emissions.
The carbon credits are verified by Plan Vivo. Furthermore, the offsets for reporting
year 2024 will be cancelled after one year, when we buy carbon offsets for reporting
year 2025.
When selecting CO2e removal methods, we also need to consider the supply chain
as a whole, such as direct and indirect land use, the use of raw materials, social
consequences and the impact on the environment and biodiversity. We only consider
nature-based CO2e removal projects. These have proven to be effective and benefit
both climate and biodiversity.
We are now exploring the possibilities for nature-based CO2e storage. Based on
current insights, we will explore the financial and non-financial impact of biobased
construction, regenerative agriculture and forestry.","1,991",100,0,Plan Vivo,0,0,,
Deceuninck,https://www.deceuninck.com/wp-content/uploads/2025/03/Deceuninck_AR2024_Online_FULL-EN.pdf,Belgium,Consumer Goods,Building Products & Furnishings,54,PwC,3,,0,,,,,,,
DekaBank Deutsche Girozentrale,https://www.deka.de/site/dekade_deka-gruppe_site/get/params_E-908002648/10862161/DekaGroup_Annual_Report_2024_EN.pdf,Germany,Financials,Commercial Banks,302,Deloitte,1,"56 (b) To compensate for currently unavoidable CO2 emissions from own operations, DekaBank has
since 2020 offset 100% of these emissions by purchasing emission reduction certificates from
selected international projects.
57 (b), AR 61. The climate mitigation projects from which the emission reduction certificates are purchased
must meet stringent requirements. Not only must they fulfil high quality standards, but they must also
actively and verifiably contribute to achievement of at least one of the UN’s 17 Sustainable Development
Goals (SDGs). The fact that the projects are predominantly implemented in countries in the Global South
also helps ensure this. The quality of the projects is reviewed by an independent expert who ensures that the
projects demonstrate additionality, carries out a plausibility check on calculations of GHG emissions offset
and verifies that the allocation of funds is irrevocable and clear. ","9,873",0,100,"Gold Standard, VCS",0,0,,
Demant,https://assets-we.cas.dgs.com/-/media/demant/shared/new-library-2022/financial-reports/annual-report-english/demant-annual-report-2024_2.pdf?la=en&rev=0487&hash=BF20FE17B1586ABE0B06D808F899EC67,Denmark,Health Care,Medical Equipment & Supplies,66,PwC,3,,0,,,,,,,
Deutsche Bank,https://investor-relations.db.com/files/documents/annual-reports/2024/Annual-Report-2024.pdf?language_id=1,Germany,Financials,Investment Banking & Brokerage,159,EY,3,,0,,,,,,,
Deutsche Börse,https://www.deutsche-boerse.com/resource/blob/4171106/7a5fad7ee1436604fd073bb0b73df2d0/data/DBG-annual-report-2024.pdf,Germany,Financials,Security & Commodity Exchange,65,PwC,3,,0,,,,,,,
Deutsche Lufthansa,https://investor-relations.lufthansagroup.com/fileadmin/downloads/en/financial-reports/annual-reports/LH-AR-2024-e.pdf,Germany,Transportation,Airlines,134,EY,0,"The Lufthansa Group incorporates carbon offset
contributions to achieve its voluntary climate change
mitigation target
Beyond the reduction defined by the SBTi targets, the
Lufthansa Group aims to meet its self-imposed goal – to halve
its net carbon emissions by 2030 compared with 2019. This
includes voluntary carbon offsets. These offsets contribute
significantly to the climate change mitigation target. The carbon
offset contributions flow into a portfolio of climate change
mitigation projects, which includes initiatives in various countries around the world, such as Germany, Austria and Switzerland. Currently, the Lufthansa Group is supported in this
endeavour by the organisations myclimate, Climate Austria,
SQUAKE and ClimatePartner. The project portfolio includes
modern, technology-based projects such as CarbonCure’s
sustainable concrete (which captures carbon and stores it
long term in concrete) and Biochar (carbon removal through
plant-based biomass). In doing so, the Lufthansa Group fosters the development of the carbon offset market towards
new technologies and offerings that deliver long-term carbon
sequestration. This standard is recommended by the German
Environment Agency. Passengers contribute through offerings
for more sustainable flying, such as the Green Fares flight
tariff offered by the Lufthansa Group’s airlines Lufthansa Airlines, Austrian Airlines, Brussels Airlines, SWISS, Edelweiss,
Discover Airlines and Air Dolomiti. In addition to the voluntary
offsetting activities described in this report, the Lufthansa
Group also participates in CORSIA as a mandatory offsetting
scheme in the aviation sector. In the long term, the Lufthansa
Group aims to become carbon neutral by 2050 through measures such as these.
Reducing emissions through measures such as fleet modernisation, improvements in operational efficiency and the use of
SAF is associated with high costs. As a sector that is difficult
to decarbonise, aviation will be reliant on the use of carbon
certificates in the long term.
By using carbon credits, the Lufthansa Group ensures that
measures which help to prevent the generation of GHG in the
first place, such as fleet modernisation, are not hindered.
Investments in operational measures are prioritised over carbon credits as a reduction measure. However, based on the
current state-of-the-art, further reduction measures beyond
those already implemented are not economically viable for the
Lufthansa Group at this time. For this reason, carbon credits
are indispensable as a means of carbon offsetting. In addition,
customers purchase and finance carbon credits. This means
no investment funds become permanently tied up that could
otherwise be allocated to other reduction measures.
All current projects in the Lufthansa Group climate change
mitigation portfolio are certified to a high standard. Over 90%
of these projects are verified against the Gold Standard,
which is recommended by the German Environment Agency.
In addition, two technology-based projects (CarbonCure’s
sustainable concrete and biochar) are certified under the Puro
Earth Standard and the Verified Carbon Standard (VCS). Projects by Climate Austria are certified in accordance with local
Austrian standards and national environmental funding regulations. Another local project within Europe is certified under
the MoorFutures Standard.
The amount of retired carbon certificates, as well as the
planned amount of carbon certificates to be retired in the
future, is listed in the following table. The total amount of
carbon credits planned for retirement is exclusively based on
contracts concluded with carbon credit providers. However,
deviations between the planned values and the actual values
may occur for 2025. A detailed description of the calculation
methodologies can be found under ↗ Calculation methods in
2024 – Environment. Based on the absolute amounts of retired carbon certificates
presented in the above table, 10% relate to removal projects
and 90% to reduction projects. 3% of the retired certificates
relate to projects carried out in Europe. Moreover, the
Lufthansa Group has not retired any carbon certificates that
fall under Article 6 of the Paris Climate Agreement.","606,007",10,90,"Plan Vivo, Gold Standard, MoorFutures, Puro.earth",3,0,,
Deutsche Pfandbriefbank,https://www.pfandbriefbank.com/fileadmin/user_upload/downloads/investor_relations/reports/Annual_Report_2024_secured_2.pdf,Germany,Financials,Commercial Banks,170,Deloitte,0,"pbb has not developed any projects within its own activities that contribute to the reduction or storage of greenhouse
gases. Furthermore, no contribution was made to such projects within the upstream, internal and downstream value chain.
Since 2020, pbb has purchased carbon credits to cover the GHG emissions caused by its business operations in Scope 1
and 2 as well as parts of Scope 3 (excluding the financing portfolio).
The GHG emissions were offset in 2024 via the third-party provider Climate Partner as part of a verified emission reduction
(VER) in combination with voluntary carbon offsetting. The combination project has contributed to the financing of a certified climate change mitigation project in South Africa and also supports humus cultivation in Germany: for every tonne of
CO2eq saved through the contribution via a certified climate change mitigation project, 250 kg of CO2eq are reduced
through a humus cultivation project.
The following table shows information on the cancelled carbon credits (the previous year's figures have not been audited
by the auditor). In 2024, pbb Group offset the GHG emissions from Scope 1, Scope 2 and Scope 3 categories 6 (business
traveling) and 7 (employee commuting) via the certified climate change mitigation project. There are no carbon credits to be cancelled in the future.
No greenhouse gas abatement or greenhouse gas reduction projects are carried out for the emissions from the banking
business.
pbb Group does not currently have a net-zero target and is not committed to GHG neutrality.
pbb actively supports the Paris Climate Agreement and the 1.5 degree target, whereby the current focus is on avoiding
and reducing GHG emissions. There is currently no neutralisation of emissions. ","2,476",20,80,Not specified,20,80,,
Deutsche Telekom,https://www.telekom.com/resource/blob/1085970/9e25d438580a5e3f39521fd94ed5e48c/dt-24-annual-report-data.pdf,Germany,Technology & Communications,Telecommunication Services,85,Deloitte,0,"We did not carry out any offsetting activities in 2024 within our own business activities with regard to GHG removals and GHG
mitigation projects financed through carbon credits. The focus in the reporting year was on projects and actions for actually reducing
GHG emissions.
In addition, we purchased carbon credits to further reduce emissions outside our value chain, in particular to offset internal events.
The total amount of carbon credits outside our value chain that were verified against recognized quality standards and canceled in the
reporting period is 35,167 metric tons of CO2e. Of the carbon credits from removal projects, 25,000 metric tons of CO2e are
attributable to biogenic sinks and 8,000 metric tons of CO2e are attributable to technological sinks. The following table provides an overview of the canceled carbon credits and lists, for example, the different standards that we have
selected for our portfolio. These standards guarantee the integrity and credibility of the emission reductions and ensure that the
credits meet international requirements. Of the carbon credits from removal projects from 2025 to 2028, 455,140 metric tons of CO2e are attributable to biogenic sinks and
170,200 metric tons of CO2e are attributable to technological sinks. The total amount of carbon credits outside the value chain
planned to be canceled and that are based on contractual agreements is 625,340 metric tons of CO2e. This figure does not include
T‑Mobile US, as the contracts will not be concluded until 2025.","35,167",6.2,93.8,"VCS, Gold Standard",3,97.2,,
DFDS,https://downloads.ctfassets.net/mivicpf5zews/7bSRWp5LwAcKV701igh7Da/7219e15a8807443823915c05b6691a24/DFDS_ANNUAL_REPORT_2024.pdf,Denmark,Transportation,Marine Transportation,74,PwC,3,,0,,,,,,,
DHL,https://group.dhl.com/content/dam/deutschepostdhl/en/media-center/investors/documents/annual-reports/DHL-Group-2024-Annual-Report.pdf,Germany,Transportation,Air Freight & Logistics,67,Deloitte,1,"As part of our product range, we continue to offer our customers offsetting products to help compensate for GHG emissions. In the
year under review, carbon credits in the amount of 1.1 million metric tons of CO2e were retired with respect to GHG emissions in
the 2023 fiscal year. All of the credits originated from “Gold Standard for the Global Goals” reduction projects. The Gold Standard is
a recognized certification standard.
The emissions reductions achieved through offsetting are excluded from the calculation of our own GHG footprint and the Realized
Decarbonization Effects. We describe the scope, methodology, framework and handling of residual emissions (remaining emissions after the
implementation of all technologically and economically viable measures) with respect to our 2050 target under targets related to
climate change mitigation and adaptation.","1,100,000",0,100,Gold Standard,0,0,,
Digia,https://digia.com/hubfs/Investors/Reports%20and%20presentations/2024/Digia_BoD_report_and_financial_statements_2024_security.pdf,Finland,Technology & Communications,Software & IT Services,46,EY,3,,0,,,,,,,
Dino Polska,https://grupadino.pl/wp-content/uploads/2025/04/Dino-Polska-Management-Boards-Activity-Report-for-2024.pdf,Poland,Food & Beverage,Food Retailers & Distributors,57,KPMG,3,,0,,,,,,,
DNO,https://ml-eu.globenewswire.com/Resource/Download/d1c27997-1f96-4d97-9200-8362ba818b8c,Norway,Extractives & Mineral Processing,Oil & Gas – Exploration & Production,26,EY,3,,0,,,,,,,
DNV,https://brandcentral.dnv.com/download/DownloadGateway.dll?h=BE1B38BB718539CC0AB58A5FF2EA7A83C162393C30B73CE3932AED14E5BA3C3F6A2AE5888D961BDF58312E163C46142E,Norway,Services,Professional & Commercial Services,87,KPMG,2,"In addition to reducing our emissions, we compensate for our remaining emissions using carbon
credits purchased from carbon removal projects.
We follow the Oxford Principles for Net Zero
Aligned Carbon Offsetting, which emphasize
the integrity of carbon credits and transparency.
Carbon credits and projects considered by DNV
are primarily carbon removal projects, as these
are highlighted as necessary to scale in our 2023
Pathway to Net Zero report.
We established a due diligence process for carbon
credit purchases in 2022. This assesses additionality,
project risks, and community management within
carbon removal projects. Our selection criteria
include using a recognized carbon removal methodology and registry, credits no older than four years
when retired, and project reputation based on a
review of reports and any other available sources.
In 2024, we purchased 46,300 tonnes of carbon
removal credits from projects in Malaysia, Paraguay,
Sierra Leone and Ghana.
We are also looking to move beyond carbon offsets
and are exploring carbon capture and storage projects
where we can contribute more directly. Our Seaweed
Carbon Solutions project, part of a Joint Industry
Project, grows seaweed in Norwegian seas to capture
CO2 and provide the raw material to create seaweed
biochar. Read more in our position paper From sea
to soil: seaweed biochar for carbon dioxide removal.
In 2024, we also signed a five-year agreement with
Inherit Carbon Solutions to purchase CO2 removal
certificates. Inherit Carbon Solutions plans to capture
and permanently store CO2 from biogas production. We purchased and retired
46,300 tonnes of carbon
offsets in the name of DNV
AS. These offsets were
purchased to cover 44,759
tonnes CO2e, all emissions
within our 2025 goal
(including Scope 1, 2,
and Scope 3 emissions
from business travel). ","46,300",100,0,VCS,0,0,,
DocMorris (ex. Zur Rose Group),https://ir-corporate.docmorris.com/media/document/2c68f43c-2be5-4b99-a4a7-a618bf0d221a/assets/Annual_Report_Sustainability_2024_Web_en.pdf?disposition=inline,Switzerland,Health Care,Drug Retailers,82,EY,3,,0,,,,,,,
DOF Subea,https://cdn.prod.website-files.com/629f1b36bee3b058907852a0/67ef84024b10161969f6bf73_DOF%20Integrated%20Report%202024%20V1.00%20WebRes.pdf,Norway,Extractives & Mineral Processing,Oil & Gas – Services,74,PwC,3,,0,,,,,,,
Dreagewerk,https://www.draeger.com/Content/Documents/Content/annual-report-2024-YE62MmANJ5.pdf,Germany,Health Care,Medical Equipment & Supplies,99,KPMG,3,,0,,,,,,,
DSB,https://www.dsb.dk/globalassets/arsrapport/2024/annual-report-2024.pdf,Denmark,Transportation,Rail Transportation,106,EY,3,,0,,,,,,,
dsm-firmenich,https://annualreport.dsm-firmenich.com/2024/_assets/downloads/entire-dsmfirmenich-iar24.pdf,Switzerland,Resource Transformation,Chemicals,56,KPMG,3,,0,,,,,,,
DSV,https://investor.dsv.com/static-files/d34d3dfc-e1fe-4a25-a2c8-9d736830025a,Denmark,Transportation,Air Freight & Logistics,43,PwC,3,,0,,,,,,,
Dürr,https://www.durr-group.com/fileadmin/durr-group.com/Investors/Downloads/Reports/2024/annual-report-2024-EN.pdf,Germany,Resource Transformation,Industrial Machinery & Goods,89,Deloitte,3,,0,,,,,,,
DWS Group,https://download.dws.com/download?elib-assetguid=0a5c5eabf8714defa4de4d184b1a1c3a&publishLocationGuid=eacbc9cf4b8e4d2189eb69cd09e2ff4f,Germany,Financials,Asset Management & Custody Activities,86,KPMG,3,,0,,,,,,,
DZ BANK,https://annualreport.dzbank.com/sites/default/files/2025-03/DZBANK_Group_AR2024.pdf,Germany,Financials,Commercial Banks,320,PwC,3,,0,,,,,,,
E.ON,https://www.eon.com/content/dam/eon/eon-com/eon-com-assets/documents/investor-relations/en/annual-report/GB24-gesamt-EN_final.pdf,Germany,Infrastructure,Electric Utilities & Power Generators,54,KPMG,1,"As already described, E.ON finances measures to avoid or remove
emissions by purchasing voluntary carbon certificates. Current projects are
shown in the table below. It provides an overview of carbon credits used in
the reporting year (“carbon credits retired”) and carbon credits to be used in
the future that have already been purchased (“carbon credits still to be
retired”). Retiring certificates means listing their use in the associated
public carbon credit register. In the case of retired credits, we also make transparent the type of project
the credits are based on. We distinguish between reduction and removal
projects: removal projects actively remove emissions from the atmosphere.
Reduction projects, by contrast, avoid emissions compared with an
alternative scenario in which the project is not conducted. Reduction
projects, such as forest-protection projects, make up by far the largest
share of the voluntary carbon credit market. E.ON currently procures a
higher proportion of credits relating to reduction projects than to removal
projects. Reduction projects are also subdivided according to the
certification mechanisms on which they are based. The mechanisms apply
different validation and certification standards for carbon credit projects.
E.ON purchases smaller quantities of removal credits and does not record
any carbon removals from projects in its own value chain. In addition,
carbon credits with a corresponding adjustment (“CA”) label can be
purchased on the market. A CA is a mechanism to prevent double counting
of emission reductions and removals in international transfers of carbon
credits in the accounts of the country of origin and the purchasing
organization. The market for CA credits is still in its early stages, which is
why E.ON has not yet purchased any carbon credits with a CA. E.ON is not
aware of purchased projects that had reversals in the reporting year (cases
in which a project’s carbon sink becomes a source of emissions, such as
through forest fires).",672.06,0,100,"Gold Standard, VCS",0,0,,
Ebro Foods,https://www.ebrofoods.es/wp-content/uploads/2025/05/Consolidated-Annual-Financial-Report-2024-WEB.pdf,Spain,Food & Beverage,Processed Foods,220,EY,3,,0,,,,,,,
Econocom Group,https://www.econocom.com/ecmedia/fin_report/eco2024_ra_en_ecobook.pdf,Belgium,Financials,Commercial Banks,117,BDO,3,,0,,,,,,,
Edenred,https://www.edenred.com/system/files/documents/2024-2025-en-urd-edenred-mel.pdf,France,Services,Professional & Commercial Services,105,Deloitte & EY,1,"Edenred prioritizes reducing carbon emissions and does not
compensate all its own GHG emissions. However, a few Edenred
entities purchase carbon credits corresponding to some of their
activities. Additionally, Edenred SE purchases carbon credits to
offset the emissions associated with its paper vouchers. All these
projects are outside Edenred’s value chain. In 2024, these credits will collectively represent 2,416 tCO2eq. 100% of them have a recognized quality certification (VCS). 100% of them
are for CO2 emission reduction projects, corresponding to 2,416 tCO2eq., and 0% for absorption projects. These credits have all been
cancelled in 2024.","2,416",0,100,VCS,0,0,,
Edison,"https://www.edison.it/sites/default/files/documents/2024%20Financial%20Report_Volume1_Management,%20Sustainability%20and%20Governance_internet.pdf",Italy,Infrastructure,Electric Utilities & Power Generators,160,KPMG,1,"GHG removals and GHG mitigation projects financed through carbon credits
The carbon offsetting activities carried out by the Edison Group are related to gas sales to end customers. Specifically, 0.5
Mt was offset through carbon credits in 2024. These are mainly crediting whose emission reduction is always verified by
independent third-party organisations.","459,491",0,100,"VCS, CDM",0,0,,
Elia System Operator,https://issuu.com/eliagroup/docs/_integrated_annual_report_2024?fr=sZTM5YTgzNzgwMjM,Belgium,Infrastructure,Electric Utilities & Power Generators,146,EY & BDO,1,"We do not have GHG removal (and subsequently no reversal) and storage resulting from projects developed in own operations or contributed to in upstream and downstream value chain.
We purchase project-based carbon credits (verified to Gold Standard) from the voluntary market. In 2021 we began purchasing a number of carbon credits equivalent to the previous year's GHG emissions related to SF6 leakages and business flights.
The carbon credits are used to financially support a climate change mitigation project, i.e.
Solar Systems Supply of Senegalese households. We are currently rethinking our GHG emissions compensation approach (for residual emissions) and therefore cannot currently disclose any future carbon credits planned to be cancelled outside the undertaking's value chain.","10,529",0,100,Gold Standard,0,0,,
Elisa,https://static.elisa.com/v2/image/2tqybbhjs47b/1V94t8IZNr8wdpClnbdS02/Elisa_AnnualReport_2024.pdf,Finland,Technology & Communications,Telecommunication Services,66,EY,0,"Elisa’s long-term goals (Net-zero 2040) allow us, in
accordance with the recommendation of the SBTi initiative, to
use only removal-type carbon credit projects for neutralisation
of carbon emissions. This means that, at most, 10 percent of
emissions at that point can be covered by carbon removal
through carbon credits.
We prioritise abatement within our value chain, and we are
continuously investigating ways to reduce carbon emissions
together with various stakeholders. We are currently focused
on our near-term, science-based target for 2030, with a 42
percent reduction in all scopes of emissions. We will not
use carbon credits for near-term target. Elisa is nevertheless
already investing in additional mitigation actions beyond the
near- and long-term science-based targets.
Currently, Elisa has not developed any projects in its own
operations or value chain for GHG emission removal or
storage, but as part of Elisa’s CTP, we are exploring oppor
-
tunities in this area. However, Elisa adopted the practice of
beyond-value-chain mitigation already in 2020, with the scope
of annually acquiring carbon credits in an amount equal to
the remaining emissions in our own operations, meaning from
fuels (Scope 1) and a small portion of other energy usage
(Scope 2), as well as from waste and from business travel
and employee commuting, including remote working (Scope
3). Beyond-value-chain mitigation thus comprises a valuable
aspect in building the sustainable service offering that Elisa
provides to its customers. Our selected carbon credit projects
also have co-benefits for people and nature.
Over time, Elisa has built a carbon credit portfolio with a
variety of high-quality projects of different types and on
different continents, according to the following motivations: • Mitigate risks with a well-balanced portfolio • Predictability for high-quality carbon credits • Benefit financially from strategic procurement • Adress Elisa’s geographical value chain impacts • Test and learn about available opportunities to support our
transition
When reviewing, deciding, and procuring carbon credits, we
do due diligence as follows: • Additionality: The project reduces carbon emissions that
are not reduced through other initiatives.
• Leakage prevention: Emission reductions from the project
do not leak to other locations or activities.
• Permanence: The project permanently prevents the carbon
emissions from entering the atmosphere.
• Verifiability: An objective third party confirms that emission
reductions from the project are credible.
• Other risk assessment: The project e.g. avoids very
high-risk countries.
Elisa purchased carbon credits from projects that are of high
quality, verified by standard bodies like Gold Standard and
Verified Carbon Standard (VCS) and in line with the UN
Sustainable Development Goals. The methodologies of these
standards ensure accurate quantification and verification for
various mitigation technologies and processes. To further
lessen risks in the quality of carbon credits, we do additional
vetting to the extent possible together with selected partners.
We follow developments in methodologies and actively
engage in dialogue with providers and other experts or
stakeholders, to continuously develop Elisa’s carbon credit
portfolio. Elisa’s portfolio for beyond-value-chain mitigation currently
consists of both reduction and removal projects. As described
below, Elisa’s active carbon credit portfolio, from which
cancellations have been done for the reporting year, included
removal-type projects from Oxford Category 4 (forest
restoration/reforestation) and Category 5 (biochar), together
with reduction-type projects. We see additional value also in innovation and dialogue
directly with project developers and are for example
supporting initiatives such as solar cooker systems for
village communities in Zambia and mangrove plantations in
Indonesia and the Philippines. We transparently describe all
carbon credit projects in our portfolio, their cancellations,
and related climate and other benefits, further on Elisa’s
sustainability webpages.","6,800",16,84,"VCS, Puro.earth, CAR",0,0,,
Elkem,https://www.elkem.com/globalassets/corporate/documents/annual-report/elkem-annual-report-2024/,Norway,Resource Transformation,Chemicals,55,KPMG,3WIP,"While Elkem’s primary strategy is emissions reduction, the company also evaluates potential carbon credits and GHG removal projects. Current efforts include researching CCS for smelting and expanding sustainable biocarbon sources. All carbon credits follow third-party verification standards.",0,,,,,,,
Ellaktor,https://ellaktor.com/wp-content/uploads/2025/05/ELLAKTOR-GROUP_Annual-Financial-Report-31.12.2024.pdf,Greece,Infrastructure,Engineering & Construction Services,171,Grant Thornton,3,,0,,,,,,,
ELO,https://groupe-elo.com/app/uploads/2025/02/RFA_ELO_2024_EN-1.pdf,France,Food & Beverage,Food Retailers & Distributors,372,PwC & KPMG,3,,0,,,,,,,
Elopak,https://www.elopak.com/app/uploads/2025/04/Elopak-Annual-report-2024.pdf,Norway,Resource Transformation,Containers & Packaging,106,PwC,0,"n 2024, Elopak offered customers carbon neutral packaging by
offsetting emission through carbon credits. A CarbonNeutral®
package offsets all the emissions associated with the carton, from
raw material production, transportation, manufacturing, waste,
travels and distribution to retail. However, to comply with EU
regulations and to reflect our commitments while avoiding any
risk of greenwashing, we are assessing the future of such a claim.
We are currently exploring alternative ways to communicate that
cartons are a low-carbon alternative, while continuously working
to further reduce the product carbon footprint.
Our SBTi targets include both a net-zero target and gross emission reduction targets, and there is a need to further assess how
residual emissions are intended to be neutralized. We do not use
carbon credits in our carbon accounting or to reduce reported
Scope 1, 2 or 3 emissions. This approach ensures that our emissions data transparently represents actual operational impacts
without adjustments for external offset mechanisms.
Elopak currently holds the CarbonNeutral® company certification in accordance with the 2024 version of the CarbonNeutral®
Protocol. Compliance with the CarbonNeutral® Protocol
includes demonstration that emission reduction targets are in
place, and emission reductions are being achieved in accordance with near-term science-aligned reduction targets.
The carbon credits used have been verified to leading international carbon standards - the Gold Standard and Verra. These
standards are approved by the International Carbon Reduction
Offset Accreditation (ICROA) and meet the CSRD definition of
recognized quality standards.","88,856",94,6,"Gold Standard, VCS",0,0,,
Enagas,https://www.enagas.es/content/dam/enagas/en/files/enagas-communication-room/publications/informe-anual/Annual-Report-2024-Enagas.pdf,Spain,Extractives & Mineral Processing,Oil & Gas – Midstream,218,EY,1,"Enagás’ decarbonisation strategy is based on prioritising measures to
reduce emissions and subsequently offsetting emissions that cannot
be reduced for technical reasons. Enagás follows certain criteria to
offset its residual emissions:
• Mitigation hierarchy: only proceed to offset residual emissions
once the maximum level of reduction has been achieved with the
available technology.
• Offset against credits generated by projects that meet the
following requirements:
◦ Be located in geographic areas where the company is present.
◦ Have quality certificates that guarantee the solvency and
reliability of the projects.
◦ Prioritise nature-based solutions.
Therefore, after applying these criteria, in 2024 Enagás spent 37,856
euros on purchasing carbon credits to offset 8,520 tonnes of CO2e
for the 2023 financial year. For more information, refer to Note ‘4.6
Other Information’ in the Consolidated Annual Accounts. In 2025 it
will offset the emissions derived from its regasification terminals, the
Euskadour compressor station, the corporate fleet and headquarters
via the cancellation of carbon credits amounting 5,839 tonnes of
CO2e, corresponding to 2024. In this way, these facilities have
maintained the carbon neutrality they achieved in 2017 (in the case
of Euskadour, 2020). This compensation was carried out with the
purchase and cancellation of carbon credits for avoided deforestation projects in Peru and the Motor Verde reforestation
project in Spain, developed by Repsol and Sylvestris. Enagás plans to continue its decarbonisation pathway, reaching net
zero in 2040 for scope 1 and 2. During this period, it will prioritise the
reduction and elimination of emissions, committing to offsetting the
remaining emissions in 2040 and in 2050 for scope 3. It will do so by
offsetting its residual emissions with carbon credits from projects
associated with nature-based solutions (reforestation) certified
under recognised standards (for more information, see disclosure
requirement E1-4).
Enagás is not working on GHG elimination and/or storage projects in
its own operations, nor has it contributed to any projects in its value
chain.","5,839",0,100,VCS,2,98,,
Enav,https://cdn-web.enav.it//content/2025-04/Annual%20Integrated%20Report%202024_1.pdf?VersionId=79e2f445-5615-44d5-9cba-679b3d222e45,Italy,Services,Professional & Commercial Services,74,EY,1,"Note: The carbon credits (VERRA certified) used for the portion of scope 1 and 2 emissions that are not yet reducible are related to the “Renewable energy hydro India” project,
which involves the construction of a 300 MW run-of-river hydropower plant, the main objective of which is to supply renewable energy to local communities in Kuppa, Kinnaur
District Himachal Pradesh, India.
The ENAV Group has a stock of carbon credits of 6,649.92 tCO2e to meet future retirement of Scope 1 and Scope 2 emissions. The total amount of carbon credits outside the
company's value chain will be determined based on energy consumption trends during the year. At present, there are no existing contractual agreements for the future
retirement of credits, but the retirement planning will take place according to the company's offsetting needs. ","4,890",0,100,VCS,0,0,,
